id,price,bedrooms,bathrooms,land_area,address_subdivision,address_locality,address_line_2,category_name,is_parent,type,latitude,longitude,geometry,index_right,population,price_per_m2,information,price_display
160059.0,8505000.0,,,1134.0,Phnom Penh,Chamkarmon,BKK 1,Land/Development,False,residential,11.5500312,104.9257444,POINT (104.9257444 11.5500312),53893.0,18149.0,0.0,This is good land for new project condo or invest to Apartment with big size 1134 sqm Especially owner includes hard title to clients Asking price 7500$ per sqm,"$8,505,000"
223880.0,550000.0,5.0,5.0,72.0,Phnom Penh,Toul Kork,Boeung Kak 1,Retreat,False,residential,11.5445,104.913586,POINT (104.913586 11.5445),53909.0,23239.0,0.0,"- Address: Commune Boeng Kok 1, District Tuol Kork, Phnom Penh - Land area :  4m x 18m - Room ( s ) : 5 - Floors ( s ) :3 - Price : $550,000","$550,000"
233576.0,580000.0,3.0,4.0,75.60000000000001,Phnom Penh,Meanchey,Chak Angrae Leu,Retreat,False,residential,11.52347384,104.9251878,POINT (104.9251878 11.52347384),54711.0,9638.0,0.0,Rental price 580000$ (Negotiate) Size 4.2 ×18m 3 bedroom 4 bathroom,"$580,000"
234368.0,3750000.0,,,486.0,Phnom Penh,Chroy Changvar,Chroy Changvar,other,False,commercial,11.589674,104.925654,POINT (104.925654 11.589674),54162.0,11327.0,0.0,"New Building For Sale at OCIC Project, Chroy Changva Satellite City, Phnom Penh Office building for sale in the OCIC project at Chroy Changvar Satellite City, Sangkat Chroy ChangVa, Khan Chroy Changva, Phnom Penh City. This office building, you just travel afew minutes from the Japan Cambodia Bridge, 7 minutes from the Wat Phnom Historic (Wat Phnom Park Fountain).  Land size: 18m x 27m  L-Map size: 486 Sq.m  Building size: 16m x 20m (4,200 Sq.m)  Building stories: 13 Floors  Elevator  Parking underground  Selling price: $3,750,000 negotiable It's very good for real estate investment or develop into office building, hotel, apartment, condo, international school, hospital and for all kinds of business activities.","$3,750,000"
233638.0,580000.0,3.0,4.0,75.6,Phnom Penh,Meanchey,Chak Angrae Leu,House,False,residential,11.516569,104.9200633,POINT (104.9200633 11.516569),54703.0,22376.0,0.0,"The size in this house 4.2mx18 m and The house comprises 3 bedrooms and 4 bathrooms. This house have 3 floors. this house is conveniently close to shopping centers and schools. It also has easy access to major highways, making commuting to and from the city hassle-free.","$580,000"
183272.0,650000.0,6.0,7.0,85.0,Phnom Penh,Meanchey,Boeung Tumpun,other,False,commercial,11.55,104.93,POINT (104.93 11.55),53894.0,7658.0,0.0,"Building For Sale Now In Boeng Tompun Area./T'S HOME Real Estate Phnom Penh. ??Property ID : TS-055 ??Room Type: 6 Bedroom ??Bathroom : 7 ?? Price : 650,000USD ?? Land Size : 85? ?? House Size : 70?","$650,000"
241329.0,1500000.0,,,200.0,Phnom Penh,Toul Kork,Boeung Kak 1,other,False,commercial,11.5445,104.913586,POINT (104.913586 11.5445),53909.0,23239.0,0.0,"- Address: Commune Boeng Kok 1, District  Tuol Kork, Phnom Penh - Land area : 10m x 20m - Building area : 8m x 17m - Floors ( s ) : 2 - Price : $ 1,500,000 - Price : $ 5,000 - ID :  KEY-18559","$1,500,000"
217117.0,780000.0,12.0,13.0,104.4,Phnom Penh,Daun Penh,Phsar Thmei I,other,False,commercial,11.57561,104.92025,POINT (104.92025 11.57561),53920.0,16252.0,0.0,"Building (6 floors) near Thom Rodom road and near Sathapna bank need to sell urgently * Price only: $ 780,000 (negotiable) *This price includes transfer of title * Land size: 14.5m x 7.2m * Building size: 14.5m x 4.4m * 2.8m left of front land * 12 bedrooms and 13 bathrooms * building facing direction: legs * Provides materials such as: air conditioner, bed, table and cabinet ??Location: 30m from Thom Rodom road and near Sathabna bank => Can pay installment through bank for 20 years but need to pay 30% of the house price in advance.","$780,000"
249108.0,1500000.0,3.0,4.0,180.0,Phnom Penh,Toul Kork,Phsar Depou II,Shophouse,False,residential,11.56498457,104.9056312,POINT (104.9056312 11.56498457),53921.0,17436.0,0.0,"This corner shophouse is a great opportunity for living, business, or investment . Located on a main road , it offers easy access to daily conveniences and high visibility for businesses. The land size is 9m x 20m (approx.), and the house itself is built on three floors. The ground floor (E0) measures 4m × 12m , while the upper floors (E1 & E2) are 4m × 10m each. With 3 bedrooms, 4 bathrooms , a spacious living room , and a kitchen , it is suitable for both residential and commercial use. This property faces east , providing natural light in the morning. The surrounding area is convenient, with access to Phsar Depou Market, the Institute of Technology of Cambodia, the Ministry of National Defense, gas stations, and schools . Whether you are looking for a home, a rental property, or a place to start a business, this shophouse offers many possibilities. Contact us today to schedule a visit! Key Features:  Corner shophouse on a main road  Land size: 9m x 20m (approx.)  House size: E0: 4m × 12m, E1 & E2: 4m × 10m  3 Floors (E0, E1, E2)  3 Bedrooms, 4 Bathrooms  1 Living room, 1 Kitchen  Facing east  Unfurnished  Nearby: Market, schools, government offices, gas stations","$1,500,000"
206827.0,2500000.0,,,267.0,Phnom Penh,Chamkarmon,BKK 1,Shophouse,False,residential,11.55,104.93,POINT (104.93 11.55),53894.0,7658.0,0.0,,"$2,500,000"
243637.0,1100000.0,6.0,9.0,125.0,Phnom Penh,7 Makara,Boeung Prolit,Shophouse,False,residential,11.55945452,104.9157702,POINT (104.9157702 11.55945452),53897.0,39519.0,0.0,"Looking for a great place to live or invest in Phnom Penh? Check out this shophouse for sale in 7 Makara district . It has a hard title , which makes ownership secure. The house is spacious, measuring 5m x 25m with total of 5 floors (E0, E1, E2, E3, E4). There are 6 bedrooms and 9 bathrooms , perfect for a large family or rental investment. The location is ideal. Its next to Orussey Market , which is great for daily shopping. You will find an international school nearby, making it convenient for families with children. The area is also a commercial hub, with many coffee shops, supermarkets, and restaurants . The shophouse is accessible on a good road, making it easy to reach other parts of the city. This property offers both living comfort and investment potential. Dont miss this opportunity! Contact us today to learn more and arrange a viewing. Key Features:  Hard Title  House Size: 5m x 25m  Total floor: 5 (E0, E1, E2, E3, E4)  6 Bedrooms  9 Bathrooms  Good Road Access  Nearby Orussey Market, International School, Commercial Area, Coffee Shop, Supermarket, Restaurant, and more","$1,100,000"
204779.0,1773000.0,,,197.0,Phnom Penh,Chamkarmon,BKK 1,Land/Development,False,commercial,11.5498064,104.9246978,POINT (104.9246978 11.5498064),53893.0,18149.0,0.0,The selling price is 9000$/m2 (negotiable) Size: 6.5x29 Title: 197 m2 Hard title Negotiable NP 173564,"$1,773,000"
236874.0,2500000.0,9.0,9.0,336.0,Phnom Penh,7 Makara,Veal Vong,Villa,False,residential,11.5445,104.913586,POINT (104.913586 11.5445),53909.0,23239.0,0.0,"- Address: Commune Veal Vong, District Prampir Meakkakra, Phnom Penh - Land area :  14m x 24m - Building area : 12m x 20m - Room ( s ) : 9 - Floors ( s ) : 2 - Price : $ 5000 - ID :  KEY-16853","$2,500,000"
223372.0,565000.0,11.0,,67.0,Phnom Penh,Russey Keo,Tuol Sangkae 1,House,False,residential,11.5445,104.913586,POINT (104.913586 11.5445),53909.0,23239.0,0.0,"* Land = 67 square meters = 13m = 9m) can be earned by 7 × 5m (5m), Russey Keo From the Sovanna Primary School, Toul Sang Vana School - Toul Toul Vana School - Toul Toul Village, Toul Toul Sang Branch Company - House and House-selling area TOTALW 11 BED ROOM INCLUDE 2 in The House.","$565,000"
184205.0,2500000.0,7.0,8.0,300.0,Phnom Penh,Chamkarmon,Tonle Bassac,Villa,False,residential,11.55,104.93,POINT (104.93 11.55),53894.0,7658.0,0.0,"Villa For Sale Now In Tonle Bassac Area./T'S HOME Real Estate Phnom Penh. ??Property ID : TS-066 ??Room Type: 7 Bedroom ??Bathroom : 8 ?? Price : 2,500,000USD ?? House Size : 240? Location : Tonle Bassac Area","$2,500,000"
236786.0,400000.0,2.0,1.0,48.0,Phnom Penh,Daun Penh,Phsar Thmei III,Shophouse,False,residential,11.569135,104.9248,POINT (104.9248 11.569135),53895.0,28799.0,0.0,"- Address: Commune Phsar Thmey III, District  Daun Penh, Phnom Penh - Land area :  4m x 12m - Building area : 4m x 12m - Room ( s ) : 2 - Floors ( s ) : 1 - Price : $400,000 - ID : KEY-16797","$400,000"
248528.0,890000.0,,,107.0,Phnom Penh,Chamkarmon,BKK 1,Retreat,False,residential,11.55136242,104.9226576,POINT (104.9226576 11.55136242),53893.0,18149.0,0.0,"Property for Sale in BKK1  Urgent Sale Opportunity We are offering a building for sale in a prime location in BKK1. The sale is urgent, and the price is negotiable. Building Dimensions: 4.5m x 28m Monthly Income: Approximately $1,250 - $1,500 Property Features: Excellent potential for a business establishment or retail store Located in a high-traffic, bustling area.","$890,000"
190121.0,770000.0,4.0,5.0,64.0,Phnom Penh,Sen Sok,Tuek Thla,House,False,residential,11.55,104.89,POINT (104.89 11.55),53927.0,23197.0,0.0,"Town House For Sale in Sen Sok Area, Phnom Penh/T'S HOME Real Estate Phnom Penh ??Property ID : TS-387 ??Bedroom : 4 ??Bathroom : 5 ?? Price : 770,000 USD ?? Land Size : 4m x 16m ?? Floor Size : 4m x 16m","$770,000"
181700.0,230000.0,2.0,2.0,28.0,Phnom Penh,Daun Penh,Phsar Chas,Retreat,False,residential,11.57561,104.92025,POINT (104.92025 11.57561),53920.0,16252.0,0.0,"House for Sale Near National Museum in Daun Penh, Phnom Penh./TS HOME Real Estate Phnom Penh. - Price : 230,000$ (Negotiable) - House Size: 4m × 28m = 28? - Bedroom  : 2 - Bathroom : 2","$230,000"
189870.0,835000.0,6.0,7.0,102.0,Phnom Penh,Meanchey,Stueng Mean chey,Shophouse,False,residential,11.53,104.91,POINT (104.91 11.53),53899.0,24762.0,0.0,"Shop/Town House For Sale in Meanchey Area, Phnom Penh/T'S HOME Real Estate Phnom Penh ??Property ID : TS-367 ??Bedroom : 6 ??Bathroom : 7 ?? Price : 835,000 USD ?? Land Size : 5.20m x 20m ?? Floor Size : 5.20m x 16m","$835,000"
