id,price_display,bedrooms,bathrooms,land_area,address_subdivision,address_locality,address_line_2,category_name,is_parent,type,latitude,longitude,geometry,index_right,population,price_per_m2
235560.0,114000.0,4.0,5.0,71.4,Phnom Penh,Chroy Changvar,Preaek Lieb,Unit,False,residential,11.589674,104.925654,POINT (104.925654 11.589674),54162.0,11327.0,1596.6386554621847
248374.0,188343000.0,,,104635.0,Phnom Penh,Russey Keo,Tuol Sangkae 1,Land/Development,False,residential,11.5878099,104.9022337,POINT (104.9022337 11.5878099),54093.0,8037.0,1800.0
248290.0,58800000.0,,,84000.0,Phnom Penh,Por Sen Chey,Kantaok,Land/Development,False,residential,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0,700.0
248489.0,90000.0,1.0,1.0,76000.0,Phnom Penh,Meanchey,Chak Angrae Leu,Condo,False,residential,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0,1.1842105263157894
235239.0,276264450.0,,,55811.0,Phnom Penh,Daun Penh,Srah Chak,Land/Development,False,residential,11.57920232,104.9086133,POINT (104.9086133 11.57920232),53926.0,9274.0,4950.0
223801.0,22550000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kantaok,Land/Development,False,residential,11.44254322,104.8982163,POINT (104.8982163 11.44254322),54817.0,1188.0,550.0
224905.0,16400000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kamboul,Land/Development,False,residential,11.5445,104.913586,POINT (104.913586 11.5445),53909.0,23239.0,400.0
223921.0,22550000.0,,,41000.0,Phnom Penh,Por Sen Chey,Kantaok,Land/Development,False,residential,11.43012221,104.870161,POINT (104.870161 11.43012221),54812.0,994.0,550.0
247361.0,19000000.0,,,40800.0,Phnom Penh,Prek Pnov,Kouk Roka,Factory,False,commercial,11.537783,104.920232,POINT (104.920232 11.537783),53912.0,18375.0,465.6862745098039
238522.0,98000.0,1.0,1.0,40000.0,Phnom Penh,Chroy Changvar,Chroy Changvar,Condo,False,residential,11.62202982,104.9270802,POINT (104.9270802 11.62202982),54152.0,1971.0,2.45
222501.0,5447904.0,,,32428.0,Phnom Penh,Por Sen Chey,Kakap,Land/Development,False,commercial,11.5476122,104.8602313,POINT (104.8602313 11.5476122),53562.0,6234.0,168.0
235646.0,3297720.0,,,27481.0,Phnom Penh,Dangkao,Krang Pongro,Land/Development,False,residential,11.500658,104.856173,POINT (104.856173 11.500658),54676.0,2310.0,120.0
235026.0,5070000.0,,,26000.0,Phnom Penh,Dangkao,Prey Sa,Land,False,commercial,11.500658,104.856173,POINT (104.856173 11.500658),54676.0,2310.0,195.0
218563.0,65000.0,1.0,1.0,25000.0,Phnom Penh,Chroy Changvar,Chroy Changvar,Condo,False,residential,11.59258451,104.9367586,POINT (104.9367586 11.59258451),54136.0,1037.0,2.6
157841.0,60000.0,1.0,1.0,25000.0,Phnom Penh,Chroy Changvar,Chroy Changvar,Condo,False,residential,11.58,104.93,POINT (104.93 11.58),54133.0,5351.0,2.4
218562.0,66000.0,1.0,1.0,25000.0,Phnom Penh,Chroy Changvar,Chroy Changvar,Condo,False,residential,11.59258451,104.9367586,POINT (104.9367586 11.59258451),54136.0,1037.0,2.64
248375.0,26601600.0,,,22168.0,Phnom Penh,Sen Sok,Khmuonh,Land,False,commercial,11.60078634,104.8784612,POINT (104.8784612 11.60078634),54088.0,2630.0,1200.0
237126.0,119000.0,1.0,1.0,20000.0,Phnom Penh,Por Sen Chey,Chaom Chau 1,Condo,False,residential,11.549282,104.8646489,POINT (104.8646489 11.549282),53562.0,6234.0,5.95
237361.0,100000.0,1.0,1.0,20000.0,Phnom Penh,Por Sen Chey,Chaom Chau 1,Condo,False,residential,11.54903429,104.8649125,POINT (104.8649125 11.54903429),53562.0,6234.0,5.0
248484.0,5256000.0,,,18777.0,Phnom Penh,Meanchey,Chak Angrae Kraom,Land,False,commercial,11.50144636,104.9259348,POINT (104.9259348 11.50144636),54723.0,2745.0,279.9169196357246
247330.0,35670600.0,,,18774.0,Phnom Penh,Meanchey,Chak Angrae Kraom,Land/Development,False,residential,11.51633096,104.954246,POINT (104.954246 11.51633096),53948.0,3829.0,1900.0
