address,r2,mae,sample_size
84.0,0.9597499191622137,80.8218387276785,7
86.0,0.9332374299789562,84.93833418996712,19
8.0,0.9318837765579958,62.91558268229168,12
23.0,0.927593320755284,50.10880468749999,20
45.0,0.914865290035843,80.71656869741585,52
50.0,0.9110053328122599,92.89491210937504,10
78.0,0.8848582299440009,108.04082031249999,36
30.0,0.8815506932099388,40.70074424342105,19
81.0,0.8806090559874381,123.80583519345232,42
15.0,0.8684727845166389,55.896145019531275,70
94.0,0.8518021419806954,211.415640625,5
11.0,0.8336371578602271,124.65659705528847,13
93.0,0.8260037207773996,34.46141299977022,17
87.0,0.8099508494059093,142.79204618566183,17
29.0,0.8078380640633294,55.87857822516027,39
3.0,0.7913347419197754,199.45309945913448,13
89.0,0.7723999761922793,216.85233642578123,16
54.0,0.7703492153714803,576.4453208705356,7
18.0,0.7657467579193331,173.36615513392857,14
1.0,0.7599774067042848,99.61762120863976,34
24.0,0.7335106413425136,90.62936631944443,27
91.0,0.7166748847619044,192.08544099506568,19
63.0,0.7147133788111333,124.6219979194973,23
4.0,0.700035322763304,157.6531208881579,38
13.0,0.678000674184075,59.88142089843752,11
42.0,0.65484113358083,232.62372829861104,9
92.0,0.6497415027183309,200.58321707589297,7
65.0,0.6485669320493226,31.559645124162937,14
61.0,0.6433919961310313,60.677219412667405,14
12.0,0.6374669077035953,213.33489257812494,9
21.0,0.6126745944439494,48.17348693847654,8
48.0,0.5852036149872144,212.68509321732947,11
28.0,0.5766652238006328,38.79170087178549,48
83.0,0.5748367049022977,154.37742675781254,10
34.0,0.5476667728108755,77.59014225260417,15
68.0,0.546319373123507,34.99466576360887,31
56.0,0.5446664091046055,608.1567578124997,7
71.0,0.5428438407776592,131.98123925781252,15
47.0,0.5424169077730292,230.864869140625,5
67.0,0.523455950106388,24.963524840111827,51
2.0,0.5185520955965222,125.77579950747293,23
14.0,0.5054956968463022,201.70943684895835,24
52.0,0.5050735114353406,459.40885850694457,9
77.0,0.4799639138615833,188.5734556842673,29
85.0,0.4133904562220576,444.87513509114586,6
64.0,0.3994416357893372,112.92214762369792,12
32.0,0.39739062770596556,40.3018810453869,42
74.0,0.32610228039973044,38.76350744074041,44
16.0,0.3113747634833314,211.1382958984375,6
37.0,0.30002339457300264,123.70449637276786,28
17.0,0.2827152786129642,42.48676931527944,26
55.0,0.27567177348097327,494.3008437499999,5
25.0,0.24587459428954206,142.36930584574856,43
76.0,0.22561163681174534,16.26343361302426,19
5.0,0.2026943605945688,520.8801953125001,6
82.0,0.18995973315315895,32.54899633789063,35
26.0,0.15255047750180173,82.69597564697264,32
33.0,0.1434922967983372,32.76297125565378,19
80.0,0.10858922185395681,26.26257577078683,14
43.0,0.0869563036043075,8.603915903191817,38
72.0,0.05285010250158395,76.61869950727984,22
69.0,0.03128023920456313,19.59732044566761,22
9.0,0.019598241614934953,20.719922263405536,44
75.0,-0.014681985548664844,21.54182277832031,25
0.0,-0.04886809259187075,74.34330342060811,37
20.0,-0.08591022259403402,94.42309667968748,5
58.0,-0.09693790899793608,17.859253177642827,32
44.0,-0.11737473042284186,40.339449591385694,19
59.0,-0.12757956847501295,20.620645671907024,61
31.0,-0.1999848678740117,8.81370086669922,11
73.0,-0.30219392720971405,31.659673757245464,31
57.0,-0.3096545965525135,36.750868342472955,26
62.0,-0.42278125343246464,26.934024499963833,27
60.0,-0.6137912667466421,83.15667010967546,26
27.0,-0.7236924037558095,17.043523830837675,27
70.0,-0.8811788192393437,24.313320068359378,20
7.0,-0.93932432353332,258.8935546875001,7
88.0,-1.0893945607953275,158.51101013183595,8
79.0,-1.6515447160187207,97.93325606496711,19
53.0,-2.580806917739677,1109.5201796875,5
66.0,-2.74901113999571,42.7969741716056,29
22.0,-7.321185295425172,212.10077663845485,18
