,name,lat,lon,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
252,ABA Sen Sok Branch,11.5893656,104.8694989,164.0,116.0,88.0,,
253,ABA Boeung Trabek Branch,11.5382697,104.923005,165.0,117.0,89.0,,
254,ABA AEON MALL (Mean Chey) Branch,11.4840419,104.9178439,166.0,118.0,90.0,,
255,ABA Samdach Monireth Branch,11.5551182,104.906041,167.0,119.0,91.0,,
256,ABA Chamkar Mon Branch,11.5320866,104.9300747,168.0,120.0,92.0,,
257,ABA Card Machine - Borei Keyla Branch,11.5672314,104.9111538,169.0,121.0,93.0,,
258,ABA Chhroy Changvar​ Branch,11.5951345,104.9309909,170.0,122.0,,,
259,ABA Card Machine - Central Market Branch,11.5696045,104.9221477,171.0,123.0,,,
260,ABA Toul Kork Branch,11.5834486,104.9000931,172.0,124.0,,,
261,ABA Aeon Mall 2 Branch,11.5988471,104.8849327,173.0,125.0,,,
262,ABA Card Machine - Central Branch,11.5590152,104.920317,174.0,126.0,,,
263,ABA Card Machine - Mittapheap Branch,11.5710271,104.9158126,175.0,127.0,,,
264,ABA Sen Sok Branch,11.5893656,104.8694989,176.0,128.0,,,
265,ABA Boeung Trabek Branch,11.5382697,104.923005,177.0,129.0,,,
266,ABA AEON MALL (Mean Chey) Branch,11.4840419,104.9178439,178.0,130.0,,,
267,ABA Samdach Monireth Branch,11.5551182,104.906041,179.0,131.0,,,
268,ABA Chamkar Mon Branch,11.5320866,104.9300747,180.0,132.0,,,
269,ABA Card Machine - Borei Keyla Branch,11.5672314,104.9111538,181.0,133.0,,,
270,ABA Chhroy Changvar​ Branch,11.5951345,104.9309909,182.0,,,,
271,ABA Card Machine - Central Market Branch,11.5696045,104.9221477,183.0,,,,
272,ABA Toul Kork Branch,11.5834486,104.9000931,184.0,,,,
273,ABA Aeon Mall 2 Branch,11.5988471,104.8849327,185.0,,,,
274,ABA Card Machine - Central Branch,11.5590152,104.920317,186.0,,,,
275,ABA Card Machine - Mittapheap Branch,11.5710271,104.9158126,187.0,,,,
276,ABA Sen Sok Branch,11.5893656,104.8694989,188.0,,,,
277,ABA Boeung Trabek Branch,11.5382697,104.923005,189.0,,,,
278,ABA AEON MALL (Mean Chey) Branch,11.4840419,104.9178439,190.0,,,,
279,ABA Samdach Monireth Branch,11.5551182,104.906041,191.0,,,,
280,ABA Chamkar Mon Branch,11.5320866,104.9300747,192.0,,,,
281,ABA Card Machine - Borei Keyla Branch,11.5672314,104.9111538,193.0,,,,
282,ABA Chhroy Changvar​ Branch,11.5951345,104.9309909,,,,,
283,ABA Card Machine - Central Market Branch,11.5696045,104.9221477,,,,,
284,ABA Toul Kork Branch,11.5834486,104.9000931,,,,,
285,ABA Aeon Mall 2 Branch,11.5988471,104.8849327,,,,,
286,ABA Card Machine - Central Branch,11.5590152,104.920317,,,,,
287,ABA Card Machine - Mittapheap Branch,11.5710271,104.9158126,,,,,
288,ABA Sen Sok Branch,11.5893656,104.8694989,,,,,
289,ABA Boeung Trabek Branch,11.5382697,104.923005,,,,,
290,ABA AEON MALL (Mean Chey) Branch,11.4840419,104.9178439,,,,,
291,ABA Samdach Monireth Branch,11.5551182,104.906041,,,,,
292,ABA Chamkar Mon Branch,11.5320866,104.9300747,,,,,
293,ABA Card Machine - Borei Keyla Branch,11.5672314,104.9111538,,,,,
