,name,lat,lon
116,ACLEDA Self Service Banking (ATM),11.567361,104.924862
117,ACLEDA Self Service Banking (ATM),11.5667984,104.9176846
118,ACLEDA ATM - Office of Council Ministers,11.5695113,104.912767
119,ACLEDA Bank ATM Khandale Mall,11.576444,104.9109005
120,ACLEDA ATM - PP Sorya Bus,11.568137,104.919861
121,ACLEDA Self Service Banking (ATM),11.5736403,104.928146
122,ACLEDA Self Service Banking (ATM),11.5624016,104.9180371
123,ACLEDA Self Service Banking (ATM),11.565749,104.9193062
124,ACLEDA ATM - Calmette,11.5811297,104.9164259
125,ATM Acleda Bank,11.5446213,104.9027851
126,ACLEDA ATM - Saravoan Techo,11.566635,104.92692
127,ACLEDA ATM - UCare Pharmacy,11.5443188,104.924075
128,ACLEDA Self Service Banking (ATM),11.5764037,104.910912
129,ACLEDA ATM - Phnom Penh Parking Centre,11.5560175,104.9316087
130,ACLEDA ATM - 313 Quayside,11.5679829,104.9306224
131,ACLEDA ATM - Mega Store,11.5477058,104.9144829
132,ACLEDA Self Service Banking (ATM),11.5509432,104.917349
133,ACLEDA Self Service Banking (ATM),11.5554028,104.9107559
134,ACLEDA Self Service Banking (ATM),11.5483028,104.9063995
135,ACLEDA ATM - Total Station (Tuol Kork),11.5768693,104.8997208
136,ATM ធនាគារ​អេស៊ីលីដា,11.5706511,104.9277121
137,ACLEDA Self Service Banking (ATM),11.5596543,104.9155444
138,ACLEDA Self Service Banking (ATM),11.5665164,104.8968091
139,ACLEDA ATM - Mongkol Building,11.550999,104.9251388
140,ACLEDA ATM - In & Out Market,11.5537815,104.9266263
141,ACLEDA ATM - Doctor Coffee,11.5798894,104.9207254
142,ACLEDA Self Service Banking (ATM),11.5539203,104.9324825
143,ACLEDA ATM - The Bridge,11.552048,104.935477
144,ACLEDA ATM - Prochea Prey Mart,11.586304,104.9069337
145,ACLEDA Self Service Banking (ATM),11.5618301,104.8957741
146,ACLEDA ATM - Caltex BoengKak,11.5743175,104.9042613
147,ACLEDA ATM - Brown 271,11.5375478,104.9104433
148,ACLEDA ATM - Chrouy Changvar Primary School,11.5822424,104.9282932
149,ACLEDA ATM - MILLENNIAL 360,11.5490649,104.9274401
150,ACLEDA ATM - ECO Town,11.5811473,104.8873201
151,ACLEDA ATM - GIA Tower,11.552603,104.94044
152,ACLEDA Self Service Banking (ATM),11.555766,104.886713
153,ACLEDA Self Service Banking (ATM),11.5643209,104.8870979
154,ACLEDA Self Service Banking (ATM),11.5487602,104.9242292
155,ACLEDA Self Service Banking (ATM),11.5730446,104.8725825
156,ACLEDA ATM,11.5415518,104.9172299
157,ACLEDA ATM - Building 34,11.5489442,104.9195205
158,ACLEDA ATM - Biomedic,11.578186,104.896019
159,ACLEDA ATM - Fair Plus (SMC),11.5432889,104.8939963
160,ACLEDA ATM - Starbucks,11.5886554,104.9274576
161,ACLEDA Self Service Banking (ATM),11.534088,104.914342
162,ACLEDA ATM - The Point Community Mall,11.5450272,104.9114315
163,ACLEDA ATM - Lucky Pavilion,11.5555588,104.9218647
164,ACLEDA ATM - PSC Computer,11.5619459,104.9205654
165,ACLEDA ATM - VIVA Star Coffee,11.5400639,104.9139176
166,ACLEDA Self Service Banking (ATM),11.59146,104.896565
167,ACLEDA Self Service Banking (ATM),11.6011433,104.9184958
168,ACLEDA ATM - Makro Sensok,11.593528,104.8811432
169,ACLEDA Self Service Banking (ATM),11.5551032,104.9284087
170,ACLEDA Self Service Banking (ATM),11.5843901,104.900255
171,ACLEDA ATM - Caltex Tuol Sangkae,11.5939606,104.911244
172,ACLEDA ATM - Mobile Coffee 155,11.5357036,104.9153396
173,ABA ATM,11.5751716,104.9257393
174,ABA 24/7 - Riverside,11.5704104,104.9298775
175,ABA ATM,11.5727412,104.924722
176,ABA 24/7 - Phsar Kandal,11.5681754,104.9285431
177,ABA ATM,11.5711135,104.9296447
178,ABA ATM,11.571777,104.9284741
179,ABA Bank ATM,11.569462,104.930142
180,ABA ATM,11.5739044,104.9213586
181,ABA 24/7 - Phsar Thmey 2,11.5691358,104.9187285
182,ABA ATM 204,11.5754226,104.9267208
183,ABA ATM,11.5714881,104.9216299
184,ABA 24/7 - Stade Chas,11.5854992,104.9156959
185,ABA 24/7 Sokha Plaza,11.5682249,104.9287274
186,ABA ATM,11.5725229,104.9290007
187,ABA ATM,11.5722381,104.9191084
188,ABA ATM,11.5696252,104.9221409
189,ABA 24/7 - Phsar Thmey 1,11.567923,104.9188993
190,ABA 24/7 - Neang​ Kong​ Hing,11.5623685,104.912678
191,ABA Bank ATM,11.5673156,104.928813
192,ABA ATM,11.5687687,104.9273433
193,ABA Bank ATM,,
194,ABA ATM,11.5666255,104.9269333
195,ABA ATM,11.5678399,104.9261947
196,ABA ATM,11.5665755,104.9298799
197,ABA ATM/Cash-in Machine,11.5709868,104.9158269
198,ABA ATM,11.5638042,104.9267509
199,ABA ATM,11.568629,104.9189
200,ABA ATM,11.5647278,104.9194447
201,ABA 24/7 - Phsar Olympic,11.5555083,104.9104824
202,ABA ATM/Cash-in Machine,11.5681648,104.9285563
203,ABA 24/7 - Wat​ Moha​ Montrei​,11.5558965,104.9144483
204,ABA 24/7 - Phsar​ Depo,11.5633179,104.9073825
205,ABA 24/7 - Phnom Penh Thmey,11.573783,104.8800935
206,ABA ATM,11.5619035,104.9223562
207,ABA ATM,11.559764,104.928009
208,ABA 24/7 - Camko,11.5912699,104.897069
209,ABA ATM,11.5647745,104.9272573
210,ABA ATM/Cash-in Machine,11.5821831,104.9283486
211,ABA ATM,11.555779,104.9225172
212,ABA ATM/Cash-in Machine,11.5625722,104.9222116
213,BRED Bank (Cambodia) ATM,11.5760396,104.9260343
214,ABA ATM,11.5609887,104.9353518
215,ABA ATM,11.5851753,104.9132698
216,ABA ATM,11.5685168,104.9198833
217,ABA 24/7 - Sovanna,11.5459388,104.8996718
218,ABA ATM,11.5550441,104.9247742
219,ABA 24/7 - Phsar Derm Kor,11.5517862,104.9020039
220,ABA ATM,11.5584075,104.9199997
221,ABA ATM,11.5951281,104.9310392
222,ABA ATM,11.5573081,104.9182943
223,ABA ATM,11.5630461,104.9122372
224,ABA 24/7 - Russey Keo,11.6092837,104.9175579
225,ABA 24/7 - Street 2004,11.5519643,104.8763438
226,ABA ATM/Cash-in Machine,11.5673623,104.9006269
227,ABA 24/7 - Chamkarmon,11.5440936,104.9281645
228,ABA ATM,11.5811389,104.916426
229,ABA ATM,11.5556934,104.9229791
230,ABA 24/7 - Pet Lok Sang,11.5617645,104.8905228
231,ABA ATM,11.5672821,104.9112152
232,ABA 24/7 - Pochentong,11.5624509,104.8562552
233,ABA ATM,11.5547467,104.9326993
234,ABA ATM,11.5523334,104.9354238
235,ABA ATM/Cash-in Machine,11.589313,104.9285263
236,ABA ATM,11.5719685,104.8991819
237,ABA ATM/Cash-in Machine,11.5658125,104.914766
238,ABA 24/7 - Boeung​ Trabek​,11.5348248,104.9235918
239,ABA ATM,11.5619736,104.9205599
240,ABA ATM,11.5494324,104.9241921
241,ABA ATM,11.5484794,104.9281963
242,ABA 24/7 - WB Arena,11.5102897,104.9373499
