address_line_2,h_id,n_seven_eleven_5km,n_gas_station_5km,n_cafe_5km,n_gas_station_in_3km_to_5km,near_Olympic_Stadium_in_km,n_secondary_school_5km,near_Phsar_Tmey_in_km,n_cafe_in_3km_to_5km,near_Phsar_Chas_in_km,near_Vattanac_Tower_in_km,n_pre_school_5km,near_Wat_Phnom_in_km,n_primary_school_in_3km_to_5km,price_per_m2
0,755,1.0,0.0,0.0,0,19.059818632160745,0.0,17.992776467053787,0,16.943040182190135,16.949180847442598,0.0,16.901875171659427,0,271.00190168459926
26,588,1.0,7.0,3.0,5,14.8886742046366,2.0,15.82728093054865,0,16.944827396367184,15.882345350128404,0.0,17.291292515976714,0,577.242913812665
1,417,37.0,156.0,183.0,71,2.1579762817712944,78.0,1.1049785021117238,92,2.053186303249448,0.9177968060016516,100.0,1.0072102091163486,33,2409.5322368567404
59,554,-0.0,3.0,2.0,0,19.133050532442024,-0.0,19.95845861669156,0,19.8943446118533,18.92288941855032,0.0,19.98810182688449,0,40.24729854340354
17,172,4.0,27.0,22.0,18,8.014716513398302,10.0,9.096618891660151,16,9.96436576138572,9.978900502561288,1.0,10.095654690199847,2,449.29156019989
19,383,27.0,85.0,129.0,46,2.946992099499324,51.0,3.92728052935249,58,3.9475933258063023,3.940589020450593,59.0,3.707903572333032,24,2174.726464042468
24,640,10.0,71.0,40.0,37,6.991295369158241,14.0,7.796593015982044,24,8.951017605440565,7.71451976654997,10.0,8.0389629474047,21,1891.7580543266608
49,421,38.0,163.0,194.0,74,1.0515707160311754,84.0,0.8489205276509803,95,1.9393242153818289,0.9806044406025004,104.0,1.0481201182971756,39,3871.4744837272488
17,171,4.0,25.0,19.0,17,9.052978443712288,10.0,9.965752331821957,13,9.8238997315317,9.96595867915888,0.0,10.203592589236486,2,471.4408408787411
68,216,4.0,16.0,8.0,9,10.03646296241434,1.0,11.949496569695343,4,11.851013236244476,12.179026144405723,0.0,12.022684087114268,4,232.8659717574867
62,98,3.0,8.0,4.0,8,13.99721511649522,0.0,15.029625273395258,2,15.967623199243372,16.058223690991678,-0.0,16.026108035666123,0,93.9510433102973
